2026-08-06 13:27:22 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=HEDEF&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:27:33 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=ISCTR&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:27:45 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=IZENR&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:27:57 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=IZFAS&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:28:09 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=KCHOL&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:28:20 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=KTLEV&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:28:27 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=MGROS&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:28:30 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=MOPAS&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:28:34 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=ODINE&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:28:46 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=PASEU&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:28:52 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=PEKGY&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:28:53 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=PGSUS&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:28:55 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=SAHOL&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:29:00 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TATEN&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:29:02 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TAVHL&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:29:07 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TCELL&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:29:14 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TERA&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:29:21 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=THYAO&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:29:34 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TMPOL&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:29:35 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TRALT&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:29:47 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TRHOL&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:29:48 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TRMET&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:29:49 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TTKOM&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:29:51 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TURSG&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:30:03 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=YKBNK&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:30:04 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-06 13:30:05 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328c7812c9c301781bc5fe843290 "HTTP/1.1 200 OK"
2026-08-06 13:30:07 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1642306 "HTTP/1.1 200 OK"
2026-08-06 13:30:08 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f52dc3f019fc82f8f2d7200 "HTTP/1.1 200 OK"
2026-08-06 13:30:13 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonFiyatBilgiGetir "HTTP/1.1 200 OK"
2026-08-06 13:30:14 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonFiyatBilgiGetir "HTTP/1.1 200 OK"
2026-08-06 13:30:15 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonFiyatBilgiGetir "HTTP/1.1 200 OK"
2026-08-06 13:30:27 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=ALKLC&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:30:38 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=ANELE&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:30:42 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=BIGEN&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:30:44 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=DAPGM&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:30:55 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=DSTKF&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:30:57 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=EFOR&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:31:02 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=EUPWR&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:31:14 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=EUREN&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:31:26 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=GESAN&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:31:38 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=HEDEF&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:31:49 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=KARCL&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:32:00 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=MANAS&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:32:11 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=METEN&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:32:14 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=OZATD&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:32:26 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=PEKGY&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:32:29 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=SARAE&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:32:31 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=SELEC&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:32:43 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=SVGYO&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:32:54 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TEHOL&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:33:05 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TERA&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:33:17 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TMPOL&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:33:25 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=TRHOL&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:33:26 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=YKBNK&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:33:27 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-06 13:33:29 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328c8e21cef7018e2ddaeff33aab "HTTP/1.1 200 OK"
2026-08-06 13:33:31 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1643420 "HTTP/1.1 200 OK"
2026-08-06 13:33:32 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328d9f52dddc019fd11f17470e28 "HTTP/1.1 200 OK"
2026-08-06 13:33:33 | WARNING  | src.fetchers.kap_fund_portfolio | KAP portföy dağılım PDF'inin 'fon' bölümü grup toplamı beklenenden (%100) sapıyor (96.28) -- ayrıştırma bu bölüm için GÜVENİLİR DEĞİL, boş liste dönüyor (Kural 3).
2026-08-06 13:33:34 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1629842 "HTTP/1.1 200 OK"
2026-08-06 13:33:35 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f0a0859019f41bffe2f6a42 "HTTP/1.1 200 OK"
2026-08-06 13:33:37 | WARNING  | src.fetchers.kap_fund_portfolio | KAP portföy dağılım PDF'inin 'fon' bölümü grup toplamı beklenenden (%100) sapıyor (96.00) -- ayrıştırma bu bölüm için GÜVENİLİR DEĞİL, boş liste dönüyor (Kural 3).
2026-08-06 13:33:38 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonFiyatBilgiGetir "HTTP/1.1 200 OK"
2026-08-06 13:33:42 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=AKBNK&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:33:48 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=AKSEN&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:34:01 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=ANELE&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:34:15 | WARNING  | src.fetchers.isyatirim | Is Yatirim fiyat istegi basarisiz, yeniden denenecek: [WinError 10054] Varolan bir bağlantı uzaktaki bir ana bilgisayar tarafından zorla kapatıldı
2026-08-06 13:34:28 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=ANSGR&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:34:30 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=BALSU&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:34:44 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=BETAE&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:34:56 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=BRSAN&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:34:57 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=DAPGM&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:02 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=DCTTR&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:07 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=DSTKF&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:09 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=EREGL&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:15 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=GUNDG&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:27 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=HEDEF&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:32 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=IZFAS&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:36 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=KTLEV&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:37 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=MGROS&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:38 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=MOPAS&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:39 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=MPARK&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:42 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=ODINE&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:46 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=PASEU&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:49 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=PEKGY&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:50 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=PGSUS&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:52 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=SARAE&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
2026-08-06 13:35:54 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=SKBNK&startdate=07-06-2026&enddate=06-08-2026 "HTTP/1.1 200 OK"
