2026-08-05 17:01:17 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328d9f52dddc019fd09a8bf77e65 "HTTP/1.1 200 OK"
2026-08-05 17:01:17 | WARNING  | src.fetchers.kap_fund_portfolio | KAP portföy dağılım PDF'inin 'hisse' bölümü grup toplamı beklenenden (%100) sapıyor (94.67) -- ayrıştırma bu bölüm için GÜVENİLİR DEĞİL, boş liste dönüyor (Kural 3).
2026-08-05 17:01:17 | INFO     | src.fetchers.kap_fund_portfolio | PDF'te 'DİĞER' bölümü bulunamadı.
2026-08-05 17:01:18 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 17:01:19 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 17:01:20 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 17:01:20 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328d9b827483019c046a65ff2528 "HTTP/1.1 200 OK"
2026-08-05 17:01:21 | INFO     | src.fetchers.kap_fund_portfolio | 'LTL' için KAP'ta hiç 'Portföy Dağılım Raporu' bulunamadı.
2026-08-05 17:01:22 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 17:01:22 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 17:01:24 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 17:01:24 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328c8588f3000185c40a663376a6 "HTTP/1.1 200 OK"
2026-08-05 17:01:25 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1625308 "HTTP/1.1 200 OK"
2026-08-05 17:01:26 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328d9f0a0a59019f27be401a4be9 "HTTP/1.1 200 OK"
2026-08-05 17:01:27 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 17:01:28 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 17:01:29 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 17:01:30 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328d9d7b24c8019d9bd785e80ab8 "HTTP/1.1 200 OK"
2026-08-05 17:01:31 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1643429 "HTTP/1.1 200 OK"
2026-08-05 17:01:32 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328d9f52dddc019fd102e21309f5 "HTTP/1.1 200 OK"
2026-08-05 17:01:32 | WARNING  | src.fetchers.kap_fund_portfolio | KAP portföy dağılım PDF'inde ayrıştırılan toplam ağırlık %100'ü anlamlı ölçüde aşıyor (103.23) -- bölümler ayrı ayrı tutarlı olsa da BİRLİKTE güvenilmez, TÜM portföy boş dönüyor (Kural 3).
2026-08-05 17:01:33 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 17:01:33 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 17:01:35 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 17:01:35 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328d930ceaeb01934f2a76a2532c "HTTP/1.1 200 OK"
2026-08-05 17:01:36 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1627665 "HTTP/1.1 200 OK"
2026-08-05 17:01:37 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328d9f0a0a59019f36e8142414a1 "HTTP/1.1 200 OK"
2026-08-05 17:02:09 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 17:02:10 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 17:02:11 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 17:02:11 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328d976d2b83019778d85215108b "HTTP/1.1 200 OK"
2026-08-05 17:02:12 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1643523 "HTTP/1.1 200 OK"
2026-08-05 17:02:13 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f52dc40019fd1bf94451e92 "HTTP/1.1 200 OK"
2026-08-05 17:02:13 | WARNING  | src.fetchers.kap_fund_portfolio | KAP portföy dağılım PDF'inin 'hisse' bölümü grup toplamı beklenenden (%100) sapıyor (71.06) -- ayrıştırma bu bölüm için GÜVENİLİR DEĞİL, boş liste dönüyor (Kural 3).
2026-08-05 17:02:14 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 17:02:15 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 17:02:16 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 17:02:17 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328c95959ac40195b7437124477b "HTTP/1.1 200 OK"
2026-08-05 17:02:18 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1628496 "HTTP/1.1 200 OK"
2026-08-05 17:02:18 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f0a085a019f281baf0765a7 "HTTP/1.1 200 OK"
2026-08-05 17:02:34 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 17:02:35 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 17:02:36 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 17:02:37 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328c8b2fcee8018cd9ebc25a3fba "HTTP/1.1 200 OK"
2026-08-05 17:02:38 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1643052 "HTTP/1.1 200 OK"
2026-08-05 17:02:38 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328d9f52dddd019fcd08d0c32c77 "HTTP/1.1 200 OK"
2026-08-05 17:02:39 | WARNING  | src.fetchers.kap_fund_portfolio | KAP portföy dağılım PDF'inin 'fon' bölümü grup toplamı beklenenden (%100) sapıyor (43.33) -- ayrıştırma bu bölüm için GÜVENİLİR DEĞİL, boş liste dönüyor (Kural 3).
2026-08-05 17:02:40 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 17:02:41 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 17:02:42 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 17:02:43 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328c949953a00194d04a116351b0 "HTTP/1.1 200 OK"
2026-08-05 17:02:44 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1630109 "HTTP/1.1 200 OK"
2026-08-05 17:02:45 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328d9f0a0a58019f4278522649af "HTTP/1.1 200 OK"
2026-08-05 17:02:47 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 17:02:48 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 17:02:49 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 17:02:50 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328c7902c29d01791dbac6bb5309 "HTTP/1.1 200 OK"
2026-08-05 17:02:51 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1643654 "HTTP/1.1 200 OK"
2026-08-05 17:02:51 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f52dc40019fd1ace42c1cb9 "HTTP/1.1 200 OK"
2026-08-05 17:02:58 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 17:02:59 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328c7812c9c301781bc5fe843290 "HTTP/1.1 200 OK"
2026-08-05 17:03:00 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1642306 "HTTP/1.1 200 OK"
2026-08-05 17:03:01 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f52dc3f019fc82f8f2d7200 "HTTP/1.1 200 OK"
2026-08-05 17:03:06 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonFiyatBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 17:03:06 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=ALKLC&startdate=17-05-2026&enddate=05-08-2026 "HTTP/1.1 200 OK"
2026-08-05 17:03:07 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=ANELE&startdate=17-05-2026&enddate=05-08-2026 "HTTP/1.1 200 OK"
2026-08-05 17:03:19 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=BIGEN&startdate=17-05-2026&enddate=05-08-2026 "HTTP/1.1 200 OK"
2026-08-05 17:03:31 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=DAPGM&startdate=17-05-2026&enddate=05-08-2026 "HTTP/1.1 200 OK"
2026-08-05 17:03:32 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=DSTKF&startdate=17-05-2026&enddate=05-08-2026 "HTTP/1.1 200 OK"
2026-08-05 17:03:44 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=EFOR&startdate=17-05-2026&enddate=05-08-2026 "HTTP/1.1 200 OK"
2026-08-05 17:03:55 | INFO     | httpx | HTTP Request: GET https://www.isyatirim.com.tr/_layouts/15/IsYatirim.Website/Common/Data.aspx/HisseTekil?hisse=EUPWR&startdate=17-05-2026&enddate=05-08-2026 "HTTP/1.1 200 OK"
