2026-08-05 15:00:26 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=33E5FED7EA5F00EAE0530A4A622B2AEA "HTTP/1.1 200 OK"
2026-08-05 15:00:27 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1623118 "HTTP/1.1 200 OK"
2026-08-05 15:00:28 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f0a0859019f2323017c3a43 "HTTP/1.1 200 OK"
2026-08-05 15:02:14 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 15:02:15 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 15:02:17 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 15:02:18 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328c8d6db292018dd01056274eb9 "HTTP/1.1 200 OK"
2026-08-05 15:02:19 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1623099 "HTTP/1.1 200 OK"
2026-08-05 15:02:20 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328d9f0a0a58019f23324bbd41cb "HTTP/1.1 200 OK"
2026-08-05 15:02:29 | INFO     | src.fetchers.kap_fund_portfolio | PDF'te 'DİĞER' bölümü bulunamadı.
2026-08-05 15:02:31 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 15:02:32 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 15:02:34 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 15:02:35 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328d950b608601956bc3da71274c "HTTP/1.1 200 OK"
2026-08-05 15:02:36 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1643529 "HTTP/1.1 200 OK"
2026-08-05 15:02:37 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f52dc40019fd1b87e4c1d44 "HTTP/1.1 200 OK"
2026-08-05 15:02:40 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 15:02:41 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 15:02:43 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 15:02:43 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328d86d233be0186ef753e146845 "HTTP/1.1 200 OK"
2026-08-05 15:02:45 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1628197 "HTTP/1.1 200 OK"
2026-08-05 15:02:46 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328d9f0a0a59019f40bec68b3ab6 "HTTP/1.1 200 OK"
2026-08-05 15:02:47 | INFO     | src.fetchers.kap_fund_portfolio | PDF'te 'DİĞER' bölümü bulunamadı.
2026-08-05 15:02:48 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 15:02:49 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 15:02:51 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 15:02:52 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=33E5FED7E65300EAE0530A4A622B2AEA "HTTP/1.1 200 OK"
2026-08-05 15:02:53 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1625683 "HTTP/1.1 200 OK"
2026-08-05 15:02:54 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f0a0859019f3b4b38e16be3 "HTTP/1.1 200 OK"
2026-08-05 15:03:26 | INFO     | src.fetchers.kap_fund_portfolio | PDF'te 'TÜREV' bölümü bulunamadı.
2026-08-05 15:03:27 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 15:03:29 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328c8e21cef8018e2de1258c2053 "HTTP/1.1 200 OK"
2026-08-05 15:03:30 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1643421 "HTTP/1.1 200 OK"
2026-08-05 15:03:31 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328d9f52dddc019fd11ad3fa0d9d "HTTP/1.1 200 OK"
