1A         | I. NAKİT DEĞERLER VE MERKEZ BANKASI                     | I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY | v1=501656898000
1AN        | XIV. MADDİ DURAN VARLIKLAR (Net)                        | XIV. PROPERTY AND EQUIPMENT (Net)             | v1=49670407000
1AO        | XV. MADDİ OLMAYAN DURAN VARLIKLAR (Net)                 | XV. INTANGIBLE ASSETS (Net)                   | v1=12628500000
1AOA       | 15.1 Şerefiye                                           | 17.1 Goodwill                                 | v1=0
1AOB       | 15.2 Diğer                                              | 17.2 Other                                    | v1=12628500000
1AP        | XVI. YATIRIM AMAÇLI GAYRİMENKULLER (Net)                | XVI. REAL ESTATES FOR INVESTMENT PURPOSE (Net) | v1=0
1AR        | XVII. VERGİ VARLIĞI                                     | XVII. TAX ASSETS                              | v1=614684000
1ARA       | 17.1 Cari Vergi Varlığı                                 | 17.1 Current Tax Assets                       | v1=0
1ARB       | 17.2 Ertelenmiş Vergi Varlığı                           | 17.2 Deferred Tax Assets                      | v1=614684000
1AS        | XVIII. SATIŞ AMAÇLI  FAALİYETLERE İLİŞKİN DUV           | XVIII. PROPERTY AND EQU. OPER.(Net)           | v1=3676241000
1ASA       | 18.1 Satış Amaçlı                                       | 18.1 Held For Sale Purpose                    | v1=3676241000
1ASB       | 18.2 Durdurulan Faaliyetlere İlişkin                    | 18.2 Held From Terminated Operations          | v1=0
1AT        | XIX. DİĞER AKTİFLER                                     | XIX. OTHER ASSETS                             | v1=79323214000
1Z         | AKTİF TOPLAMI                                           | TOTAL ASSETS                                  | v1=3419802978000
2A         | I. MEVDUAT                                              | I. DEPOSITS                                   | v1=2216602561000
2AA        | 1.1 Bankanın Dahil Olduğu Risk Grubunun Mevduatı        | 1.1 Deposits Held By The Bank's Risk Group    | v1=0
2AB        | 1.2 Diğer                                               | 1.2 Other                                     | v1=0
2B         | II. ALIM SATIM AMAÇLI TÜREV FİNANSAL BORÇLAR            | II. TRADING DERIVATIVE FINANCIAL LIABILITIES  | v1=0
2C         | III. ALINAN KREDİLER                                    | III. FUNDS BORROWED                           | v1=144469281000
2D         | IV. PARA PİYASALARINA BORÇLAR                           | IV. FUNDS FROM MONEY MARKET                   | v1=221375361000
2DA        | 4.1 Bankalararası Para Piyasalarına Borçlar             | 4.1 Interbank Money Market Payables           | v1=0
2DB        | 4.2 İMKB Takasbank Piyasasına Borçlar                   | 4.2 Istanbul Stock Exchange Money Market Payables | v1=0
2DC        | 4.3 Repo İşlemlerinden Sağlanan Fonlar                  | 4.3 Funds Provided Under Repurchase Agreements | v1=0
2E         | V. İHRAÇ EDİLEN MENKUL KIYMETLER (Net)                  | V. MARKETABLE SECURITIES ISSUED (Net)         | v1=196703428000
2EA        | 5.1 Bonolar                                             | 5.1 Bills                                     | v1=0
2EB        | 5.2 Varlığa Dayalı Menkul Kıymetler                     | 5.2 Asset Backed Securities                   | v1=0
2EC        | 5.3 Tahviller                                           | 5.3 Bonds                                     | v1=196703428000
2F         | VI. FONLAR                                              | VI. FUNDS                                     | v1=0
2FA        | 6.1 Müstakriz Fonları                                   | 6.1 Borrower Funds                            | v1=0
2FB        | 6.2 Diğer                                               | 6.2 Other                                     | v1=0
2G         | VII. MUHTELİF BORÇLAR                                   | VII. MISCELLANEOUS PAYABLES                   | v1=0
2H         | VIII. DİĞER YABANCI KAYNAKLAR                           | VIII. OTHER EXTERNAL RESOURCES                | v1=0
2I         | IX. FAKTORİNG BORÇLARI                                  | IX. FACTORING PAYABLES                        | v1=0
2J         | X. KİRALAMA İŞLEMLERİNDEN BORÇLAR                       | X. LEASING TRANSACTONS PAYABLES               | v1=3456514000
2JA        | 10.1 Finansal Kiralama Borçları                         | 10.1 Gross Financial Lease Payables           | v1=0
2JB        | 10.2 Faaliyet Kiralaması Borçları                       | 10.2 Operational Financial Lease Payables     | v1=0
2JC        | 10.3 Diğer                                              | 10.3 Other                                    | v1=0
2JD        | 10.4 Ertelenmiş Finansal Kiralama Giderleri ( - )       | 10.4 Deferred Finance Leasing Expenses ( - )  | v1=0
2K         | XI.  RİSKTEN KORUNMA AMAÇLI TÜREV FİNANSAL BORÇLAR      | XI. DERIVATIVE FINANCIAL LIABILITIES FOR HEDGE PURPOSES | v1=0
2KA        | 11.1 Gerçeğe Uygun Değer Riskinden Korunma Amaçlılar    | 11.1 Hedging For Fair Value Risk              | v1=0
2KB        | 11.2 Nakit Akış Riskinden Korunma Amaçlılar             | 11.2 Hedging For Cash Flow Risk               | v1=0
2KC        | 11.3 Yurtdışındaki Net Yatırım Riskinden Korunma Amaçlılar | 11.3 Hedging For Net Investments Risk in Abroad | v1=0
2L         | XII.  KARŞILIKLAR                                       | XII. PROVISIONS                               | v1=8545203000
2LA        | 12.1 Genel Karşılıklar                                  | 12.1 General Loan Loss Provision              | v1=0
2LB        | 12.2 Yeniden Yapılanma Karşılığı                        | 12.2 Restructuring Provision                  | v1=0
2LC        | 12.3 Çalışan Hakları Karşılığı                          | 12.3 Provision For Employ Benefits            | v1=4390423000
2LD        | 12.4 Sigorta Teknik Karşılıkları (Net)                  | 12.4 Insurance Technical Reserves (Net)       | v1=0
2LE        | 12.5 Diğer Karşılıklar                                  | 12.5 Other Provisions                         | v1=4154780000
2M         | XIII. VERGİ BORCU                                       | XIII. TAX LIABILITIES                         | v1=28561127000
2MA        | 13.1 Cari Vergi Borcu                                   | 13.1 Current Tax Liabilities                  | v1=26042814000
2MB        | 13.2 Ertelenmiş Vergi Borcu                             | 13.2 Deferred Tax Liabilities                 | v1=2518313000
2N         | XIV. SATIŞ AMAÇLI ELDE TUTULAN  DUV  BORÇ.              |                                               | v1=0
2NA        | 14.1 Satış Amaçlı                                       | 14.1 Held For Sale Purpose                    | v1=0
2NB        | 14.2 Durdurulan Faaliyetlere İlişkin                    | 14.2 Held From Terminated Operations          | v1=0
2NBA       | XV.  SERMAYE BENZERİ KREDİLER                           | XV. SUBORDINATED LOANS                        | v1=112711058000
2O         | XVI. ÖZKAYNAKLAR                                        | XVI. SHAREHOLDERS' EQUITY                     | v1=302597564000
